name,year,certifi,time,Genre,Vote,Metascore,Rating
 WandaVision,(2021),TV-PG,33 min,"Action, Comedy, Drama","18,655",No data,8.2
To All the Boys: Always and Forever,(2021),TV-14,109 min,"Comedy, Drama, Romance","18,057",65        ,6.3
Yes Day,(2021),PG,86 min,"Comedy, Family","18,051",46        ,5.7
 WandaVision,(2021),TV-PG,47 min,"Action, Comedy, Drama","17,876",No data,9.0
 Loki,(2021– ),TV-14,51 min,"Action, Adventure, Fantasy","17,806",No data,8.8
 WandaVision,(2021),TV-PG,50 min,"Action, Comedy, Drama","17,759",No data,8.4
The Innocent,(2021),TV-MA,467 min,"Crime, Drama, Mystery","17,497",No data,7.9
F9: The Fast Saga,(2021),PG-13,145 min,"Action, Adventure, Crime","17,381",59        ,5.5
Wrong Turn,(2021),R,109 min,"Horror, Thriller","17,378",46        ,5.5
 WandaVision,(2021),TV-PG,38 min,"Action, Comedy, Drama","17,361",No data,8.9
 Attack on Titan,(2013–2021),TV-MA,24 min,"Animation, Action, Adventure","16,783",No data,9.3
 WandaVision,(2021),TV-PG,38 min,"Action, Comedy, Drama","16,207",No data,8.5
Firefly Lane,(2021– ),TV-MA,No data,"Drama, Romance","15,981",No data,7.5
Below Zero,(2021),TV-MA,106 min,"Action, Adventure, Crime","15,504",No data,6.2
Karnan,(2021),No data,158 min,"Action, Drama","15,347",No data,8.3
 The Falcon and the Winter Soldier,(2021),TV-14,47 min,"Action, Adventure, Drama","15,107",No data,7.7
The Marksman,(2021),PG-13,108 min,"Action, Drama, Thriller","15,065",44        ,5.6
Superman and Lois,(2021– ),TV-14,42 min,"Action, Adventure, Drama","14,976",No data,7.9
Willy's Wonderland,(2021),TV-MA,88 min,"Action, Comedy, Horror","14,700",44        ,5.6
Crime Scene: The Vanishing at the Cecil Hotel,(2021),TV-MA,219 min,"Documentary, Crime, Mystery","14,668",No data,5.9
The Map of Tiny Perfect Things,(2021),PG-13,98 min,"Comedy, Fantasy, Romance","14,431",61        ,6.8
The Nevers,(2021– ),TV-MA,58 min,"Action, Drama, Fantasy","14,204",No data,7.4
Infinite,(2021),PG-13,106 min,"Action, Sci-Fi, Thriller","14,163",28        ,5.3
 Attack on Titan,(2013–2021),TV-MA,24 min,"Animation, Action, Adventure","13,942",No data,9.7
 Loki,(2021– ),TV-14,53 min,"Action, Adventure, Fantasy","13,792",No data,9.0
 The Falcon and the Winter Soldier,(2021),TV-14,53 min,"Action, Adventure, Drama","13,654",No data,8.8
Bliss,(I) (2021),R,103 min,"Drama, Romance, Sci-Fi","13,604",40        ,5.3
Them,(2021– ),TV-MA,45 min,"Drama, Horror, Thriller","13,357",No data,7.3
 The Falcon and the Winter Soldier,(2021),TV-14,47 min,"Action, Adventure, Drama","13,049",No data,7.9
 Attack on Titan,(2013–2021),TV-MA,24 min,"Animation, Action, Adventure","12,975",No data,8.9
